S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
700,CHEMBL5190925,CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)C2(C)C,670,6.17,2420,5.62
701,CHEMBL5191067,O=[N+]([O-])c1ccc(Cl)cc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,37740,4.42,3190,5.5
702,CHEMBL5191147,FC(F)(F)c1cc(NCc2cccc3sccc23)c2cn[nH]c2c1,100000,4,100000,4
703,CHEMBL5191276,O=[N+]([O-])c1ccc2[nH]c(CNc3cc(C(F)(F)F)cc4[nH]ncc34)cc2c1,100000,4,100000,4
704,CHEMBL5191984,CC(=O)O[C@H]1CCc2c(ccc3c2C(=O)C(=O)c2c(CO)coc2-3)C1(C)C,1870,5.73,1840,5.74
705,CHEMBL5192259,O=[N+]([O-])c1ccccc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,13950,4.86,2550,5.59
706,CHEMBL5192718,O=[N+]([O-])c1ccccc1CNc1cc(Br)cc2cn[nH]c12,100000,4,100000,4
707,CHEMBL5193307,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C(Br)CCC2(C)C,10000,5,8100,5.09
708,CHEMBL5194264,Oc1ccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c(Cl)c1,6020,5.22,2680,5.57
709,CHEMBL5194281,c1ccc2c(-c3cnc4n[se]nc4c3)c[nH]c2c1,100000,4,4500,5.35
710,CHEMBL5194494,N#Cc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,50000,4.3,11980,4.92
711,CHEMBL5195880,c1ccc2c(-c3ccc4nsnc4c3)c[nH]c2c1,100000,4,3000,5.52
712,CHEMBL5196298,COc1cc(CNc2cc(Br)cc3[nH]ncc23)c([N+](=O)[O-])cc1OC,18450,4.73,1040,5.98
713,CHEMBL5196865,FC(F)(F)c1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,24010,4.62,460,6.34
714,CHEMBL5197921,CC(C)n1ncc2c(NCc3ccccc3[N+](=O)[O-])cc(C(F)(F)F)cc21,100000,4,100000,4
715,CHEMBL5197972,O=[N+](O)c1c(Cl)cccc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,60000,4.22,170,6.77
716,CHEMBL5198045,CC(=O)Oc1c(OC(C)=O)c2c(C)coc2c2ccc3c(c12)CCCC3(C)C,10000,5,10000,5
717,CHEMBL5198425,Nc1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,2510,5.6
718,CHEMBL5199052,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC(=O)C2(C)C,360,6.44,940,6.03
719,CHEMBL5199432,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C(=O)C(O)=CC2(C)C,2880,5.54,10000,5
720,CHEMBL5199588,FC(F)(F)c1cc(NCC2CNC2)c2cn[nH]c2c1,100000,4,100000,4
721,CHEMBL5199816,N#Cc1cc(NCc2ccccc2[N+](=O)[O-])c2cn[nH]c2c1,100000,4,100000,4
722,CHEMBL5200658,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](OS(C)(=O)=O)C2(C)C,810,6.09,1210,5.92
723,CHEMBL5200688,O=[N+]([O-])c1cccc(CNc2cc(Br)cc3[nH]ncc23)c1,7950,5.1,1600,5.8
724,CHEMBL5200740,C[C@@H](C=O)C1=C(O)C(=O)c2c(ccc3c2CCCC3(C)C)C1=O,10000,5,10000,5
725,CHEMBL5201313,c1ccc2c(-c3cnc4nsnc4c3)c[nH]c2c1,100000,4,82,7.09
726,CHEMBL5203175,O[C@H](c1cc(Cl)cc2cncn12)C1CCCCC1,29,7.54,29,7.54
727,CHEMBL5204091,CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,270,6.57,160,6.8
728,CHEMBL5204255,O=C1NC(=O)c2c(NCc3ccccc3[N+](=O)[O-])cccc21,100000,4,100000,4
729,CHEMBL5204788,Oc1ccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)cc1,36740,4.43,2550,5.59
730,CHEMBL5204912,FC(F)(F)c1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,9580,5.02,6090,5.22
731,CHEMBL5205565,CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(C=O)coc2-1,10000,5,10000,5
732,CHEMBL5205978,O=[N+]([O-])c1cc(Cl)ccc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,18000,4.74,1700,5.77
733,CHEMBL5206812,O=[N+]([O-])c1ccccc1CNc1cc(Br)cc2[nH]ncc12,8040,5.09,38950,4.41
734,CHEMBL5206950,CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC(=O)C2(C)C,810,6.09,860,6.07
735,CHEMBL5207789,Cc1ccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c([N+](=O)O)c1,100000,4,60,7.22
736,CHEMBL5207925,O=C(O)CNc1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,100000,4
737,CHEMBL5208412,FC(F)(F)c1cc(NCc2cccc(Br)c2)c2cn[nH]c2c1,100000,4,19090,4.72
738,CHEMBL5218511,ON=C1CCC(CNc2cc(Br)cc3[nH]ncc23)CC1,1610,5.79,450,6.35
739,CHEMBL5218595,O[C@@H]1CCCC[C@H]1CNc1cc(Cl)cc2[nH]ncc12,1870,5.73,130,6.89
740,CHEMBL5218603,O=C(O)c1cc(NC[C@@H]2CCCC[C@H]2O)c2cn[nH]c2c1,30220,4.52,27020,4.57
741,CHEMBL5218714,Brc1cc(NCC2CCCCC2)c2cn[nH]c2c1,1090,5.96,860,6.07
742,CHEMBL5218741,Brc1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1,32070,4.49,2040,5.69
743,CHEMBL5218747,O/N=C(\CNc1cc(Br)cc2[nH]ncc12)c1ccc(O)cc1,57180,4.24,12860,4.89
744,CHEMBL5218765,Cl[C@@H]1CCCC[C@@H]1CNc1cc(Br)cc2[nH]ncc12,55500,4.26,67000,4.17
745,CHEMBL5218772,Cc1ccc(C(=O)CC(=O)c2ccccc2OC(C)C)c(O)c1,10800,4.97,10800,4.97
746,CHEMBL5218853,O[C@@H](c1cn2cncc2cc1Cl)C1CCCCC1,9.6,8.02,29,7.54
747,CHEMBL5218978,Cl[C@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,290,6.54,220,6.66
748,CHEMBL5219170,O[C@@H]1CCCC[C@H]1CNc1cc(C(F)(F)F)cc2[nH]ncc12,3660,5.44,400,6.4
749,CHEMBL5219266,O[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2cn[nH]c12,66040,4.18,39160,4.41
750,CHEMBL5219298,Brc1cc(NCc2ccccn2)c2cn[nH]c2c1,51550,4.29,3110,5.51
751,CHEMBL5219328,Brc1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,13750,4.86,6060,5.22
752,CHEMBL5219380,CC1(C)CN(c2cc(Br)cc3[nH]ncc23)CCN1S(C)(=O)=O,260,6.59,450,6.35
753,CHEMBL5219595,N[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,700,6.15,360,6.44
754,CHEMBL5219702,OCC(Nc1cc(Br)cc2[nH]ncc12)c1ccccc1,42870,4.37,330,6.48
755,CHEMBL5219723,N[C@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,1420,5.85,910,6.04
756,CHEMBL5219838,Nc1cc(Br)cc2[nH]ncc12,8490,5.07,1390,5.86
757,CHEMBL5219853,Cn1cc(-c2ccc(NC(N)=O)cc2)c2ccc(F)cc21,49,7.31,78,7.11
758,CHEMBL5219865,O[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,640,6.19,40,7.4
759,CHEMBL5220064,COc1ccccc1C(=O)CC(=O)c1ccc(C)cc1O,20600,4.69,20600,4.69
760,CHEMBL5220107,CC1=C(CC(=O)c2sccc2Br)C(=O)c2ccccc2C1=O,3.42,8.47,3.42,8.47
761,CHEMBL5220129,Cc1cc(NC[C@@H]2CCCC[C@H]2O)c2cn[nH]c2c1,3170,5.5,410,6.39
762,CHEMBL5220376,CC(C)(C)OC(=O)N1CCC(CNc2cc(Br)cc3[nH]ncc23)C1,9020,5.04,1360,5.87
763,CHEMBL5220396,O[C@H]1CCCC[C@@H]1CNc1cc(Br)cc2[nH]ncc12,2850,5.55,90,7.05
764,CHEMBL5220402,OCC(Nc1cc(Br)cc2[nH]ncc12)c1cccc(Cl)c1,18330,4.74,2040,5.69
765,CHEMBL5220436,CC(=O)O[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,5780,5.24,190,6.72
766,CHEMBL5220477,Brc1cc(NC[C@@H]2CCCN2)c2cn[nH]c2c1,4740,5.32,4170,5.38
767,CHEMBL5220520,Brc1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,17360,4.76,1800,5.74
768,CHEMBL5220677,OC1CCCCC1CNc1cc(Br)cc2[nH]ncc12,4120,5.39,120,6.92
769,CHEMBL5220840,Cn1ncc2c(NC[C@@H]3CCCC[C@H]3O)cc(Br)cc21,38010,4.42,33240,4.48
770,CHEMBL5220937,OC(CNc1cc(Br)cc2[nH]ncc12)c1cccc(Cl)c1,13090,4.88,3380,5.47
771,CHEMBL5221020,O[C@@H]1CCCC[C@H]1CNc1c(Br)ccc2[nH]ncc12,1230,5.91,11240,4.95
772,CHEMBL5221102,Brc1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,56450,4.25,7450,5.13
773,CHEMBL5267407,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nn[nH]n3)cc3c2OCCCC3c2ccccc2)cc1,15,7.82,6000,5.22
774,CHEMBL5273615,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nc(=O)[nH]o3)cc3c2OCCCC3c2ccccc2)cc1,1.5,8.82,6000,5.22
775,CHEMBL5279540,C=CC1(C=C)Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,3.4,8.47,7500,5.12
776,CHEMBL5282264,COc1ccc(-c2ccc(Oc3ccccc3C(C)(C)C)c(NC(=O)Nc3ccccc3F)c2)cc1C(=O)O,130,6.89,7500,5.12
777,CHEMBL5285519,C=C[C@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,12,7.92,7500,5.12
778,CHEMBL578036,CC1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,10000,5,7180,5.14
779,CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,14,7.85,70000,4.15
780,CHEMBL72165,O=C1c2cc(Br)ccc2-n2c1nc1ccccc1c2=O,53.9,7.27,937,6.03
781,"N-(2-(4-(4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)phenyl)-1H-pyrazol-1-yl)ethyl)acetamide trifluoroacetate::US10899764, Example 43",CC(=O)NCCn1cc(cn1)-c1ccc(cc1)N1CCC(CC1)C1c2c(cccc2F)-c2cncn12,63.3,7.2,247,6.61
782,"US10202388, Compound 11A-2",C[C@@]1(O)C2CC3CC1CC(C3)(C2)C(O)CC1c2ccccc2-c2cncn12,100,7,300,6.52
783,"US10202388, Compound 23A-3",O[C@@H](CC1c2c(cccc2F)-c2cncn12)C12CC3CC(C1)[C@H](O)C(C3)C2,100,7,300,6.52
784,"US10202388, Compound 45A-1",O[C@H](CC1c2c(cccc2F)-c2cncn12)C12CC3CC(C1)[C@H](NS(=O)(=O)Cc1ccccc1)C(C3)C2,100,7,300,6.52
785,"US10202388, Compound 45A-4",O[C@@H](CC1c2c(cccc2F)-c2cncn12)C12CC3CC(C1)[C@H](NS(=O)(=O)Cc1ccccc1)C(C3)C2,300,6.52,5500,5.26
786,"US10501458, Compound 1001",O=C(Nc1cccn2cncc12)c1ccccc1,100000,4,100000,4
787,"US10501458, Compound 1002",CC(=O)N1CCN(CC1)c1cc(cn2cncc12)C(F)(F)F,100000,4,300,6.52
788,"US10501458, Compound 1003",CS(=O)(=O)N1CCN(CC1)c1cc(cn2cncc12)C(F)(F)F,100000,4,300,6.52
789,"US10501458, Compound 1004",CC(=O)N1CCC(CC1)c1cc(cn2cncc12)C(F)(F)F,66200,4.18,300,6.52
790,"US10501458, Compound 1005",CS(=O)(=O)N1CCC(CC1)c1cc(cn2cncc12)C(F)(F)F,17400,4.76,300,6.52
791,"US10501458, Compound 1006",CS(=O)(=O)N1CCN(CC1)c1cc(Cl)cn2cncc12,17400,4.76,300,6.52
792,"US10501458, Compound 1007",CS(=O)(=O)c1ccc(cc1)-c1cc(cn2cncc12)C(F)(F)F,66200,4.18,300,6.52
793,"US10501458, Compound 1008",OCCc1cc(cn2cncc12)C(F)(F)F,100000,4,100000,4
794,"US10501458, Compound 1009",CS(=O)(=O)N1CCC(CC1)Nc1cc(cn2cncc12)C(F)(F)F,100000,4,300,6.52
795,"US10501458, Compound 1010",CS(=O)(=O)N1CCC(CC1)c1cc(Cl)cn2cncc12,17400,4.76,300,6.52
796,"US10501458, Compound 1012",CS(=O)(=O)c1ccc(cc1)-c1cc(Cl)cc2cncn12,17400,4.76,300,6.52
797,"US10501458, Compound 1013",CS(=O)(=O)N1CCN(CC1)c1cc(Cl)cc2cncn12,17400,4.76,17400,4.76
798,"US10501458, Compound 1014",CC1(C)CN(CCN1S(C)(=O)=O)c1cc(cn2cncc12)C(F)(F)F,300,6.52,300,6.52
799,"US10501458, Compound 1015",CS(=O)(=O)c1ccc(cc1)-c1cc(cc2cncn12)C(F)(F)F,17400,4.76,66200,4.18
800,"US10501458, Compound 1016",CC1(C)CN(CCN1S(C)(=O)=O)c1cc(Cl)cn2cncc12,300,6.52,300,6.52
801,"US10501458, Compound 1017::US10501458, Compound 1019",CS(=O)(=O)N1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,66200,4.18,17400,4.76
802,"US10501458, Compound 1018",CC(=O)N1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,17400,4.76,17400,4.76
803,"US10501458, Compound 1020",OC(=O)N1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,66200,4.18,17400,4.76
804,"US10501458, Compound 1021",CC1(C)CN(CCN1C(O)=O)c1cc(Br)cc2cncn12,158,6.8,300,6.52
805,"US10501458, Compound 1022",CC1(C)CN(CCN1S(C)(=O)=O)c1cc(Br)cc2cncn12,300,6.52,300,6.52
806,"US10501458, Compound 1023",CS(=O)(=O)Nc1ccc(cc1)C1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,300,6.52,300,6.52
807,"US10501458, Compound 1024",CC(=O)Nc1ccc(cc1)C1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,300,6.52,300,6.52
808,"US10501458, Compound 1025",CNC(=O)c1ccc(cc1)C1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,300,6.52,300,6.52
809,"US10501458, Compound 1026",CC1(C)CN(CCN1S(C)(=O)=O)c1cc(cc2cncn12)C(F)(F)F,300,6.52,300,6.52
810,"US10501458, Compound 1027",CS(=O)(=O)C1CCN(CC1)c1cc(cc2cncn12)C(F)(F)F,17400,4.76,300,6.52
811,"US10501458, Compound 1028",OC1(CCCCC1)c1cc(cn2cncn12)C(F)(F)F,17400,4.76,300,6.52
812,"US10501458, Compound 1029",CC(=O)N1CCN(CC1(C)C)c1cc(cn2cncc12)C(F)(F)F,300,6.52,300,6.52
813,"US10501458, Compound 1030",CS(=O)(=O)N1CCC(CC1)Nc1cc(Cl)cc2cncn12,300,6.52,300,6.52
814,"US10501458, Compound 1031",CC(=O)N1CCN(Cc2cc(Cl)cc3cncn23)CC1(C)C,300,6.52,300,6.52
815,"US10501458, Compound 1032",CC1(C)CN(Cc2cc(Cl)cc3cncn23)CCN1S(C)(=O)=O,300,6.52,300,6.52
816,"US10501458, Compound 1033",CC(=O)N1CCN(Cc2cc(Cl)cn3cncn23)CC1(C)C,300,6.52,300,6.52
817,"US10501458, Compound 1034",CN1C(=O)C(N2CCN(Cc3cc(cn4cncc34)C(F)(F)F)CC2)C(=O)C1(C)C,17400,4.76,17400,4.76
818,"US10899764, Example 41",OCCn1cc(cn1)-c1ccc(cc1)N1CCC(CC1)[C@H]1c2c(cccc2F)-c2cncn12,9.22,8.04,42,7.38
819,"US10945994, Compound 2a::US9603836, Compound 2a::US9949951, 2a",Fc1ccc2[nH]cc([C@@H]3CC(=O)NC3=O)c2c1,50000,4.3,50000,4.3
820,"US11267824, Example 1",OC(C1CCCCC1)c1c(sc2cncn12)C1CC1,15.1,7.82,288,6.54
821,"US11267824, Example 10",OC(CC1CCCCC1)c1c(sc2cncn12)C1CCCC1,384,6.42,277,6.56
822,"US11267824, Example 100",CCc1sc2cncn2c1C(O)CC1CCCCC1,6.63,8.18,299,6.52
823,"US11267824, Example 100a",CCc1sc2cncn2c1[C@@H](O)CC1CCCCC1,7.82,8.11,202,6.69
824,"US11267824, Example 100b",CCc1sc2cncn2c1[C@H](O)CC1CCCCC1,1190,5.92,9950,5
825,"US11267824, Example 101",OC(CC1CCC2CCCCC2C1)c1c(sc2cncn12)C1CC1,485,6.31,1790,5.75
826,"US11267824, Example 102",OC(CC1CCCC(C1)C(F)(F)F)c1c(sc2cncn12)C1CC1,87.6,7.06,818,6.09
827,"US11267824, Example 103",OC(C1CCC(CC1)C1CCC1)c1c(sc2cncn12)C1CC1,70.1,7.15,1780,5.75
828,"US11267824, Example 104",OC(C1CCCC(C1)C(F)(F)F)c1c(sc2cncn12)C1CC1,75.7,7.12,1080,5.97
829,"US11267824, Example 105",CC1(CCCCC1)C(O)c1c(sc2cncn12)C1CC1,10.6,7.97,104,6.98
830,"US11267824, Example 106",CC1(C)CCCC(CC(O)c2c(sc3cncn23)C2CC2)C1,85.1,7.07,546,6.26
831,"US11267824, Example 107",Cc1sc2cncn2c1C(O)CC1CCC(C1)c1ccccc1,167,6.78,1890,5.72
832,"US11267824, Example 108",CC1(C)CCC(C1)C(O)c1c(sc2cncn12)C(F)(F)F,56.7,7.25,922,6.04
833,"US11267824, Example 109",Cc1sc2cncn2c1C(O)C1CC(C)(C)C1,13.6,7.87,190,6.72
834,"US11267824, Example 10a",O[C@H](CC1CCCCC1)c1c(sc2cncn12)C1CCCC1,190,6.72,164,6.79
835,"US11267824, Example 11",CC(C)(C)c1sc2cncn2c1C(O)C1CCCCC1,895,6.05,2050,5.69
836,"US11267824, Example 110",CC1(C)CC(C1)C(O)c1c(sc2cncn12)C(F)(F)F,9.81,8.01,912,6.04
837,"US11267824, Example 111",OC(CC1CCCC1)c1c(sc2cncn12)C(F)(F)F,101,7,2430,5.61
838,"US11267824, Example 112",OC(CC1CCC(C1)c1ccccc1)c1c(sc2cncn12)C(F)(F)F,666,6.18,10200,4.99
839,"US11267824, Example 113",Cc1sc2cncn2c1C(O)C1CCCC1,149,6.83,206,6.69
840,"US11267824, Example 114",COC1CCCC(CC(O)c2c(sc3cncn23)C2CC2)C1,40.5,7.39,1830,5.74
841,"US11267824, Example 115",CC1CCC(CC1)C(O)c1c(sc2cncn12)C(F)(F)F,84.1,7.08,1960,5.71
842,"US11267824, Example 116",CC1CCC(C1)C(O)c1c(sc2cncn12)C(F)(F)F,45.5,7.34,701,6.15
843,"US11267824, Example 117",CC1CCCCC1CC(O)c1c(sc2cncn12)C(F)(F)F,165,6.78,2680,5.57
844,"US11267824, Example 118",CC1(C)CCC(CC(O)c2c(sc3cncn23)C(F)(F)F)CC1,447,6.35,7280,5.14
845,"US11267824, Example 119",CC1CCCC1C(O)c1c(sc2cncn12)C(F)(F)F,191,6.72,187,6.73
846,"US11267824, Example 12",CC(C)(C)c1sc2cncn2c1C(O)CC1CCCCC1,895,6.05,2130,5.67
847,"US11267824, Example 120",CC1CC(C)(C)CC1C(O)c1c(sc2cncn12)C1CC1,172,6.76,247,6.61
848,"US11267824, Example 121",CC1(C)CCC(CC(O)c2c(sc3cncn23)C(F)(F)F)C1,313,6.5,8490,5.07
849,"US11267824, Example 122",CC1CCCC(CC(O)c2c(sc3cncn23)C(F)(F)F)C1,205,6.69,3810,5.42
850,"US11267824, Example 123",CCC1CCCC1C(O)c1c(sc2cncn12)C1CC1,29.4,7.53,228,6.64
851,"US11267824, Example 124",OC(C1CCCCC1)c1c(sc2cncn12)-c1cccnc1,342,6.47,880,6.06
852,"US11267824, Example 125",Cn1cc(cn1)-c1sc2cncn2c1C(O)C1CCCCC1,209,6.68,10200,4.99
853,"US11267824, Example 126",Cc1ccc(cc1)-c1sc2cncn2c1C(O)C1CCCCC1,3100,5.51,1010,6
854,"US11267824, Example 127",COc1ccc(cc1)-c1sc2cncn2c1C(O)C1CCCCC1,3090,5.51,1990,5.7
855,"US11267824, Example 128",Cc1cscc1-c1sc2cncn2c1C(O)C1CCCCC1,537,6.27,420,6.38
856,"US11267824, Example 129",CCCc1sc2cncn2c1C(O)CC1CCCCC1,36.8,7.43,595,6.23
857,"US11267824, Example 13",OC(C1CCCCC1)c1c(Cl)sc2cncn12,110,6.96,172,6.76
858,"US11267824, Example 130",CCCc1sc2cncn2c1C(O)C1CCCCC1,49.5,7.31,153,6.82
859,"US11267824, Example 131",COC1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,11.3,7.95,1330,5.88
860,"US11267824, Example 132",OC(C1CCCC1)c1c(sc2cncn12)C(F)(F)F,44.3,7.35,591,6.23
861,"US11267824, Example 133",OC(C1CC2CCCC2C1)c1c(sc2cncn12)C1CC1,7.07,8.15,259,6.59
862,"US11267824, Example 134",OC(CC1CCC(CC1)C1CCCC1)c1c(sc2cncn12)C1CC1,757,6.12,2800,5.55
863,"US11267824, Example 135",OC(CC1CCCC1c1ccccc1)c1c(sc2cncn12)C1CC1,139,6.86,3770,5.42
864,"US11267824, Example 136",CC(C)C1(C)CCC(C1)C(O)c1c(sc2cncn12)C1CC1,33.2,7.48,579,6.24
865,"US11267824, Example 137",CC1(CCCC1)C(O)c1c(sc2cncn12)C(F)(F)F,16.3,7.79,54.7,7.26
866,"US11267824, Example 138",OC(CC1CCC(CC1)C(F)F)c1c(sc2cncn12)C1CC1,24.3,7.61,467,6.33
867,"US11267824, Example 139",CC1(C)CCC(C)(C1)C(O)c1c(sc2cncn12)C1CC1,18.7,7.73,151,6.82
868,"US11267824, Example 13a",O[C@@H](C1CCCCC1)c1c(Cl)sc2cncn12,93,7.03,162,6.79
869,"US11267824, Example 14",OC(C1CCCCC1)c1c(Br)sc2cncn12,28,7.55,218,6.66
870,"US11267824, Example 140",Cc1sc2cncn2c1C(O)C1(C)CCCC1,30,7.52,19.9,7.7
871,"US11267824, Example 140a",Cc1sc2cncn2c1[C@@H](O)C1(C)CCCC1,23.9,7.62,15.8,7.8
872,"US11267824, Example 141",Cc1sc2cncn2c1C(O)C1CCC(C)(C)C1,81.2,7.09,412,6.39
873,"US11267824, Example 142",CCC1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,85.8,7.07,2000,5.7
874,"US11267824, Example 143",OC(c1c(sc2cncn12)C1CC1)c1cccc(c1)C(F)(F)F,587,6.23,765,6.12
875,"US11267824, Example 144",OC(c1c(sc2cncn12)C1CC1)c1ccc(F)cc1,32.8,7.48,475,6.32
876,"US11267824, Example 145",OC(c1c(sc2cncn12)C1CC1)c1cccc(F)c1,33.1,7.48,449,6.35
877,"US11267824, Example 146",OC(c1c(sc2cncn12)C1CC1)c1ccc(Cl)cc1,63.9,7.19,1090,5.96
878,"US11267824, Example 147",COc1ccccc1C(O)c1c(sc2cncn12)C1CC1,1110,5.95,6800,5.17
879,"US11267824, Example 148",Cc1ccccc1C(O)c1c(sc2cncn12)C1CC1,1160,5.94,2530,5.6
880,"US11267824, Example 149",OC(c1c(sc2cncn12)C1CC1)c1cccc(Cl)c1,65.1,7.19,1820,5.74
881,"US11267824, Example 15",OC(c1cccs1)c1c(Cl)sc2cncn12,333,6.48,690,6.16
882,"US11267824, Example 150",CCCC1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,687,6.16,3230,5.49
883,"US11267824, Example 151",OC(C1CCC(O)CC1)c1c(sc2cncn12)C1CC1,102,6.99,2640,5.58
884,"US11267824, Example 152",OC(CC1CCC(O)CC1)c1c(sc2cncn12)C1CC1,18.4,7.74,1130,5.95
885,"US11267824, Example 153",Cc1cc(cs1)-c1sc2cncn2c1C(O)C1CCCCC1,766,6.12,854,6.07
886,"US11267824, Example 154",OC(C1CCCCC1)c1c(Cc2ccccc2)sc2cncn12,7110,5.15,4270,5.37
887,"US11267824, Example 155",OC(CC1CCCCC1)c1c(sc2cncn12)C1CC(F)(F)C1,485,6.31,1910,5.72
888,"US11267824, Example 156",OC(C1CCCCC1)c1c(sc2cncn12)C1CC(F)(F)C1,1070,5.97,1780,5.75
889,"US11267824, Example 157",COCc1sc2cncn2c1C(O)C1CCCCC1,744,6.13,327,6.49
890,"US11267824, Example 158",Cc1sc2cncn2c1C(O)C#Cc1ccccc1,459,6.34,10200,4.99
891,"US11267824, Example 159",OC(c1c(sc2cncn12)C1CC1)c1ccc(cc1)C(F)(F)F,305,6.52,2700,5.57
892,"US11267824, Example 16",OC(CC1CCCCC1)c1c(Cl)sc2cncn12,159,6.8,1210,5.92
893,"US11267824, Example 160",CCNC1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,2370,5.63,10200,4.99
894,"US11267824, Example 161",CC1(C)CCC(CC1)C(O)c1c(sc2cncn12)C(F)(F)F,58.3,7.23,2770,5.56
895,"US11267824, Example 162",Cc1sc2cncn2c1C(O)c1ccccc1,561,6.25,1000,6
896,"US11267824, Example 163",OC(c1c(sc2cncn12)C1CC1)c1ccccc1F,56.7,7.25,1290,5.89
897,"US11267824, Example 164",OC(c1c(sc2cncn12)C1CC1)c1ccccc1Cl,1120,5.95,3020,5.52
898,"US11267824, Example 165",OC(C1CCCCCC1)c1c(sc2cncn12)C1CC1,14.2,7.85,382,6.42
899,"US11267824, Example 166",CC1(CCCCCC1)C(O)c1c(sc2cncn12)C1CC1,32.1,7.49,310,6.51
900,"US11267824, Example 167",Cc1sc2cncn2c1C(O)[C@H]1C[C@@H]1c1ccccc1,338,6.47,10200,4.99
901,"US11267824, Example 168",Cc1sc2cncn2c1C(O)[C@@H]1C[C@@H]1c1ccccc1,123,6.91,2710,5.57
902,"US11267824, Example 169",Cc1sc2cncn2c1C(O)C1CCN(CC1)c1ccccc1,537,6.27,3960,5.4
903,"US11267824, Example 16a",O[C@H](CC1CCCCC1)c1c(Cl)sc2cncn12,35.6,7.45,658,6.18
904,"US11267824, Example 17",OC(C1CCCCCC1)c1c(Cl)sc2cncn12,170,6.77,301,6.52
905,"US11267824, Example 170",CC1(CC1)c1sc2cncn2c1C(O)C1CCCCC1,415,6.38,2260,5.65
906,"US11267824, Example 171",OC(c1cccs1)c1c(sc2cncn12)C1CC1,90.3,7.04,1580,5.8
907,"US11267824, Example 172",CCc1sc2cncn2c1C(O)C1(C)CCCC1,4.97,8.3,28.7,7.54
908,"US11267824, Example 173",OC(c1ccsc1)c1c(sc2cncn12)C1CC1,77.3,7.11,1770,5.75
909,"US11267824, Example 174",Cc1sc2cncn2c1C(O)C1(C)CCCCC1,32.4,7.49,37.9,7.42
910,"US11267824, Example 175",CCc1sc2cncn2c1C(O)C1(C)CCCCC1,7.04,8.15,66.8,7.18
911,"US11267824, Example 177",Cc1sc2cncn2c1C(O)CC1CCC(C)(C)CC1,199,6.7,1950,5.71
